NEWP!Models/BPNew/playeranim.j3o!0!(20.31072, 4.0, -47.205162)
NEWBasketballAgent!Models/BPNew/carlanim.j3o!1!(-9.899204, 4.0, -2.265316)
NEWBasketballAgent!Models/BPNew/bobanim.j3o!2!(-18.384735, 4.0, -49.108326)
NEWCollabAgent!Models/BPNew/alananim.j3o!3!(26.2501, 4.0, 1.8516083)
850$B(19.942049, 3.7906687, -47.31803)$0P$(20.31071, 4.0185375, -47.205177)$282.503$23:(0.19232324, -0.24474965, -9.3541686E-8, 0.95032066);24:(0.016930101, 0.55374014, -2.04119E-7, 0.8325174);13:(0.050990622, 0.2169229, 8.290649E-8, 0.9748561);14:(-0.23328947, 0.16795485, 2.1587374E-7, 0.9577929);10:(0.024997273, 0.06514051, -7.571536E-9, 0.99756294);$5$0.012$0.012$1A$(-9.581728, 3.9532068, -2.2767653)$110.55214$18$18$0.439$0.439$2A$(-16.97358, 3.9375749, -48.910435)$87.18428$2$2$0.212$0.212$3A$(26.250034, 3.873448, 1.8516097)$214.29762$18$18$0.471$0.471$
868$B(19.960733, 3.7909937, -47.322792)$0P$(20.31071, 4.018754, -47.205177)$282.503$23:(0.19232324, -0.24474965, -9.3541686E-8, 0.95032066);24:(0.016930101, 0.55374014, -2.04119E-7, 0.8325174);13:(0.050990622, 0.2169229, 8.290649E-8, 0.9748561);14:(-0.23328947, 0.16795485, 2.1587374E-7, 0.9577929);10:(0.024997273, 0.06514051, -7.571536E-9, 0.99756294);$5$0.033$0.033$1A$(-9.517802, 3.9541533, -2.2790475)$108.7396$18$18$0.460$0.460$2A$(-16.90988, 3.9381216, -48.90157)$87.18428$2$2$0.233$0.233$3A$(26.250034, 3.8737974, 1.85161)$212.48508$18$18$0.492$0.492$
887$B(19.960733, 3.7912102, -47.322792)$0P$(20.31071, 4.018984, -47.205177)$282.503$23:(0.19232324, -0.24474965, -9.3541686E-8, 0.95032066);24:(0.016930101, 0.55374014, -2.04119E-7, 0.8325174);13:(0.050990622, 0.2169229, 8.290649E-8, 0.9748561);14:(-0.23328947, 0.16795485, 2.1587374E-7, 0.9577929);10:(0.024997273, 0.06514051, -7.571536E-9, 0.99756294);$5$0.051$0.051$1A$(-9.453945, 3.9551592, -2.2813659)$106.839355$18$18$0.478$0.478$2A$(-16.84626, 3.9387596, -48.892715)$87.18428$2$2$0.251$0.251$3A$(26.250034, 3.874077, 1.8516102)$210.58484$18$18$0.510$0.510$
909$B(19.960733, 3.79144, -47.322792)$0P$(20.31071, 4.0187597, -47.205177)$282.503$23:(0.19232324, -0.24474965, -9.3541686E-8, 0.95032066);24:(0.016930101, 0.55374014, -2.04119E-7, 0.8325174);13:(0.050990622, 0.2169229, 8.290649E-8, 0.9748561);14:(-0.23328947, 0.16795485, 2.1587374E-7, 0.9577929);10:(0.024997273, 0.06514051, -7.571536E-9, 0.99756294);$5$0.070$0.070$1A$(-9.325304, 3.9532979, -2.2859447)$104.68555$18$18$0.497$0.497$2A$(-16.72038, 3.939263, -48.87516)$87.18428$2$2$0.270$0.270$3A$(26.250032, 3.8744795, 1.8516104)$208.43103$18$18$0.529$0.529$
926$B(19.960733, 3.791216, -47.322792)$0P$(20.31071, 4.0185375, -47.205177)$282.503$23:(0.19232324, -0.24474965, -9.3541686E-8, 0.95032066);24:(0.016930101, 0.55374014, -2.04119E-7, 0.8325174);13:(0.050990622, 0.2169229, 8.290649E-8, 0.9748561);14:(-0.23328947, 0.16795485, 2.1587374E-7, 0.9577929);10:(0.024997273, 0.06514051, -7.571536E-9, 0.99756294);$5$0.092$0.092$1A$(-9.261709, 3.9546363, -2.2882206)$102.91072$18$18$0.518$0.518$2A$(-16.65672, 3.9398215, -48.866283)$87.18428$2$2$0.292$0.292$3A$(26.250032, 3.8746228, 1.8516104)$206.6562$18$18$0.550$0.550$
942$B(19.960733, 3.7909937, -47.322792)$0P$(20.31071, 4.018754, -47.205177)$282.288$23:(0.1907162, -0.24215245, -9.2549065E-8, 0.9513094);24:(0.020688267, 0.55023706, -1.9812161E-7, 0.8347522);13:(0.05183586, 0.2171176, 8.2980904E-8, 0.97476816);14:(-0.25393772, 0.14635481, 2.4977987E-7, 0.95608366);10:(0.031058704, 0.06182254, -7.185876E-9, 0.9976038);$5$0.109$0.109$1A$(-9.259158, 3.9545288, -2.2883487)$101.33341$18$18$0.536$0.536$2A$(-16.593182, 3.940518, -48.85739)$87.18428$2$2$0.309$0.309$3A$(26.250032, 3.8747375, 1.8516104)$205.0789$18$18$0.568$0.568$
958$B(19.997177, 3.7496362, -47.408157)$0P$(20.31071, 4.018984, -47.205177)$282.288$23:(0.19590977, -0.23763971, -9.0824315E-8, 0.951392);24:(0.017274747, 0.552934, -2.0337224E-7, 0.83304596);13:(0.058084913, 0.22016808, 8.4146784E-8, 0.97373104);14:(-0.25371745, 0.146108, 2.4961187E-7, 0.95617986);10:(0.031058704, 0.06182254, -7.185876E-9, 0.9976038);$5$0.125$0.125$1A$(-9.202833, 3.9624991, -2.2910495)$101.33341$18$18$0.552$0.552$2A$(-16.533628, 3.9317007, -48.84705)$87.18428$2$2$0.325$0.325$3A$(26.250032, 3.8748293, 1.8516108)$203.45366$18$18$0.584$0.584$
981$B(19.971579, 3.753623, -47.385433)$0P$(20.31071, 4.0187306, -47.205177)$282.288$23:(0.19590977, -0.23763971, -9.0824315E-8, 0.951392);24:(0.017274747, 0.552934, -2.0337224E-7, 0.83304596);13:(0.058084913, 0.22016808, 8.4146784E-8, 0.97373104);14:(-0.25371745, 0.146108, 2.4961187E-7, 0.95617986);10:(0.031058704, 0.06182254, -7.185876E-9, 0.9976038);$5$0.142$0.142$1A$(-9.136209, 3.9597743, -2.2934084)$101.33341$18$18$0.568$0.568$2A$(-16.470827, 3.9334984, -48.83832)$87.18428$2$2$0.342$0.342$3A$(26.250032, 3.8749025, 1.8516108)$201.23195$18$18$0.600$0.600$
995$B(19.971579, 3.7533698, -47.385433)$0P$(20.31071, 4.0187597, -47.205177)$282.288$23:(0.19590977, -0.23763971, -9.0824315E-8, 0.951392);24:(0.017274747, 0.552934, -2.0337224E-7, 0.83304596);13:(0.058084913, 0.22016808, 8.4146784E-8, 0.97373104);14:(-0.25371745, 0.146108, 2.4961187E-7, 0.95617986);10:(0.031058704, 0.06182254, -7.185876E-9, 0.9976038);$5$0.164$0.164$1A$(-9.069584, 3.9570494, -2.2957673)$101.33341$18$18$0.590$0.590$2A$(-16.407831, 3.9350145, -48.829567)$87.18428$2$2$0.364$0.364$3A$(26.250032, 3.8749611, 1.8516108)$199.76857$18$18$0.622$0.622$
1009$B(19.971579, 3.753399, -47.385433)$0P$(20.31071, 4.0185375, -47.205177)$282.288$23:(0.19590977, -0.23763971, -9.0824315E-8, 0.951392);24:(0.017274747, 0.552934, -2.0337224E-7, 0.83304596);13:(0.058084913, 0.22016808, 8.4146784E-8, 0.97373104);14:(-0.25371745, 0.146108, 2.4961187E-7, 0.95617986);10:(0.031058704, 0.06182254, -7.185876E-9, 0.9976038);$5$0.178$0.178$1A$(-9.002959, 3.9543245, -2.2981262)$101.33341$18$18$0.605$0.605$2A$(-16.344574, 3.9361708, -48.820774)$87.18428$2$2$0.378$0.378$3A$(26.25003, 3.875008, 1.8516108)$198.33676$18$18$0.637$0.637$
